8	7	5	6	1	15	9	1	2	1	14	3	4	13	6
12	11	4	12	3	4	14	6	5	2	12	1	7	10	8
9	5	10	3	13	12	6	1	14	11	6	14	2	11	3
12	8	6	4	3	13	10	8	10	15	14	7	3	9	2
9	4	15	7	12	5	11	7	6	14	1	7	13	2	9
6	14	3	2	11	10	15	7	12	6	7	3	12	8	3
14	13	5	9	10	1	5	12	4	7	8	13	11	14	3
14	3	9	13	14	10	6	4	8	5	15	13	10	12	7
1	12	11	5	4	7	13	2	10	13	1	9	6	15	5
14	6	5	12	5	6	11	10	8	4	8	1	9	4	13
10	2	12	5	13	8	2	11	9	3	4	11	14	6	4
5	13	12	14	15	6	14	3	3	9	10	4	8	1	9
2	8	14	2	11	14	7	5	15	1	8	4	13	3	6
11	6	2	1	5	3	13	7	8	12	4	6	15	6	5
15	2	6	7	8	4	2	14	13	9	3	8	5	9	14
